SVN,Frame,Memory,Memory (Managed),Gen 0 GC,Gen 1 GC,Gen 2 GC,Processors,Frame Rate,Frame Time,Shadow Primitives,Render Primitives,Render Process,Updater Process,Loader Process,Sound Process
1.6,277,0,164125504,738,94,37,4,24,0.041301,2767,3607,96,20,0,2
1.6,278,0,164158208,738,94,37,4,24,0.040936,2767,3607,96,20,0,2
1.6,279,0,164213976,738,94,37,4,24,0.041445,2767,3607,96,24,0,2
1.6,280,0,162723528,739,94,37,4,25,0.040767,2767,3607,96,24,0,2
1.6,281,0,162764456,739,94,37,4,24,0.041086,2767,3607,96,24,0,2
1.6,282,0,162813544,739,94,37,4,24,0.041283,2772,3612,96,24,0,2
1.6,283,0,162846128,739,94,37,4,24,0.041562,2772,3612,96,24,0,2
1.6,284,0,162886992,739,94,37,4,24,0.041407,2772,3612,96,24,0,2
1.6,285,0,162935896,739,94,37,4,24,0.041899,2772,3612,96,24,0,2
1.6,286,0,162968664,739,94,37,4,24,0.042037,2772,3612,99,22,1,1
1.6,287,0,163009560,739,94,37,4,24,0.042263,2774,3614,99,22,1,1
1.6,288,0,163058584,739,94,37,4,23,0.043793,2774,3614,99,22,1,1
1.6,289,0,163107616,739,94,37,4,23,0.043911,2774,3614,99,22,1,1
1.6,290,0,163140144,739,94,37,4,23,0.044420,2774,3614,99,22,1,1
1.6,291,0,163180904,739,94,37,4,23,0.044338,2774,3614,99,22,1,1
1.6,292,0,163238112,739,94,37,4,23,0.044261,2774,3614,92,15,0,2
1.6,293,0,163278928,739,94,37,4,22,0.044683,2774,3614,92,15,0,2
1.6,294,0,163303504,739,94,37,4,22,0.044576,2774,3614,92,15,0,2
1.6,295,0,163360656,739,94,37,4,22,0.044795,2774,3614,92,15,0,2
1.6,296,0,163417872,739,94,37,4,22,0.044752,2774,3614,92,15,0,2
1.6,297,0,163491192,739,94,37,4,22,0.044781,2784,3619,92,15,0,2
1.6,298,0,163531464,739,94,37,4,23,0.043241,2784,3619,94,19,0,2
1.6,299,0,163580560,739,94,37,4,23,0.042916,2784,3619,94,19,0,2
1.6,300,0,163621288,739,94,37,4,23,0.042586,2786,3621,94,19,0,2
1.6,301,0,163645864,739,94,37,4,23,0.043653,2786,3621,94,19,0,2
1.6,302,0,163694752,739,94,37,4,23,0.044031,2786,3621,94,19,0,2
1.6,303,0,163764840,739,94,37,4,23,0.044427,2786,3621,94,19,0,2
1.6,304,0,163911264,739,94,37,4,22,0.045177,2786,3621,98,20,0,2
1.6,305,0,164985328,741,94,37,4,21,0.046771,2786,3621,98,20,0,2
1.6,306,0,165017904,741,94,37,4,21,0.047807,2786,3621,98,20,0,2
1.6,307,0,165075080,741,94,37,4,20,0.048951,2786,3621,98,20,0,2
1.6,308,0,165099656,741,94,37,4,20,0.050056,2786,3621,98,20,0,2
1.6,309,0,165164032,741,94,37,4,20,0.050965,2786,3621,98,20,0,2
1.6,310,0,165204888,741,94,37,4,19,0.051780,2786,3621,98,21,0,2
1.6,311,0,165262048,741,94,37,4,19,0.051609,2786,3621,98,21,0,2
1.6,312,0,165302880,741,94,37,4,19,0.051962,2786,3621,98,21,0,2
1.6,313,0,165343608,741,94,37,4,19,0.052070,2786,3621,98,21,0,2
1.6,314,0,165400752,741,94,37,4,19,0.053375,2786,3621,98,21,0,2
1.6,315,0,165425328,741,94,37,4,19,0.051759,2786,3621,98,18,0,1
1.6,316,0,165482488,741,94,37,4,20,0.050385,2786,3621,98,18,0,1
1.6,317,0,165523296,741,94,37,4,20,0.048907,2786,3621,98,18,0,1
1.6,318,0,165547872,741,94,37,4,21,0.047483,2786,3621,98,18,0,1
1.6,319,0,165809784,741,94,37,4,22,0.046405,2786,3621,98,18,0,1
1.6,320,0,165834360,741,94,37,4,22,0.046180,2786,3621,98,18,0,1
1.6,321,0,165899584,741,94,37,4,21,0.047890,2786,3621,87,43,0,1
1.6,322,0,165981816,741,94,37,4,21,0.047444,2786,3621,87,43,0,1
1.6,323,0,166006360,741,94,37,4,22,0.046132,2786,3621,87,43,0,1
1.6,324,0,166055248,741,94,37,4,22,0.044643,2786,3621,87,43,0,1
1.6,325,0,166096112,741,94,37,4,23,0.044176,2786,3621,87,43,0,1
1.6,326,0,166128664,741,94,37,4,22,0.044793,2786,3621,87,43,0,1
1.6,327,0,166177080,741,94,37,4,22,0.044982,2786,3621,98,21,0,3
1.6,328,0,166291600,741,94,37,4,22,0.045846,2786,3621,98,21,0,3
1.6,329,0,166316176,741,94,37,4,22,0.045958,2786,3621,98,21,0,3
1.6,330,0,166365120,741,94,37,4,22,0.045822,2786,3621,98,21,0,3
1.6,331,0,164875832,742,94,37,4,23,0.043370,2786,3621,98,21,0,3
1.6,332,0,164908568,742,94,37,4,23,0.043451,2786,3621,98,21,0,3
1.6,333,0,164974008,742,94,37,4,23,0.043643,2786,3621,97,21,0,1
1.6,334,0,165031168,742,94,37,4,23,0.043007,2786,3621,97,21,0,1
1.6,335,0,165055744,742,94,37,4,23,0.043139,2786,3621,97,21,0,1
1.6,336,0,165121128,742,94,37,4,23,0.042845,2786,3621,97,21,0,1
1.6,337,0,165161968,742,94,37,4,23,0.043291,2786,3621,97,21,0,1
1.6,338,0,165202800,742,94,37,4,24,0.042536,2786,3625,97,21,0,1
1.6,339,0,165235568,742,94,37,4,24,0.042531,2786,3625,96,20,0,1
1.6,340,0,165308464,742,94,37,4,23,0.043890,2786,3625,96,20,0,1
1.6,341,0,165349344,742,94,37,4,23,0.043552,2786,3625,96,20,0,1
1.6,342,0,165406488,742,94,37,4,23,0.043743,2786,3624,96,20,0,1
1.6,343,0,165447128,742,94,37,4,23,0.043913,2786,3622,96,20,0,1
1.6,344,0,165479800,742,94,37,4,23,0.043652,2786,3621,96,20,0,1
1.6,345,0,165520560,742,94,37,4,23,0.043773,2786,3621,97,18,0,2
1.6,346,0,165569624,742,94,37,4,23,0.043559,2786,3621,97,18,0,2
1.6,347,0,165602320,742,94,37,4,23,0.042883,2786,3621,97,18,0,2
1.6,348,0,165643168,742,94,37,4,23,0.043090,2786,3621,97,18,0,2
1.6,349,0,165700208,742,94,37,4,23,0.043008,2786,3621,97,18,0,2
1.6,350,0,165724784,742,94,37,4,24,0.041475,2788,3623,97,18,0,2
1.6,351,0,165765632,742,94,37,4,24,0.041500,2788,3623,98,22,0,2
1.6,352,0,166032408,742,94,37,4,24,0.041471,2785,3623,98,22,0,2
1.6,353,0,166056984,742,94,37,4,24,0.041752,2785,3623,98,22,0,2
1.6,354,0,166105976,742,94,37,4,24,0.041877,2794,3626,98,22,0,2
1.6,355,0,166155080,742,94,37,4,24,0.041823,2794,3626,98,22,0,2
1.6,356,0,166187600,742,94,37,4,24,0.041666,2794,3626,98,22,0,2
1.6,357,0,166228448,742,94,37,4,24,0.041953,2794,3626,96,19,0,4
1.6,358,0,166269264,742,94,37,4,24,0.041883,2794,3626,96,19,0,4
1.6,359,0,166317072,742,94,37,4,24,0.041882,2794,3626,96,19,0,4
1.6,360,0,166366160,742,94,37,4,24,0.042258,2794,3626,96,19,0,4
1.6,361,0,166415240,742,94,37,4,24,0.042227,2794,3626,96,19,0,4
1.6,362,0,164895760,743,94,37,4,24,0.041497,2794,3626,96,19,0,4
1.6,363,0,164953064,743,94,37,4,24,0.040881,2794,3626,98,22,0,1
1.6,364,0,165001952,743,94,37,4,24,0.040980,2794,3626,98,22,0,1
1.6,365,0,165034576,743,94,37,4,24,0.041094,2794,3626,98,22,0,1
1.6,366,0,165091792,743,94,37,4,24,0.041278,2794,3626,98,22,0,1
1.6,367,0,165140584,743,94,37,4,24,0.040871,2794,3626,98,22,0,1
1.6,368,0,165165128,743,94,37,4,24,0.040877,2794,3626,98,22,0,1
1.6,369,0,165336928,743,94,37,4,24,0.040938,2794,3626,98,22,0,1
1.6,370,0,165394120,743,94,37,4,25,0.040651,2794,3626,99,21,0,3
1.6,371,0,165418648,743,94,37,4,25,0.040384,2798,3628,99,21,0,3
1.6,372,0,165467616,743,94,37,4,25,0.040362,2798,3628,99,21,0,3
1.6,373,0,165500384,743,94,37,4,25,0.040301,2798,3628,99,21,0,3
1.6,374,0,165549432,743,94,37,4,25,0.040348,2798,3628,99,21,0,3
1.6,375,0,165729576,743,94,37,4,24,0.041028,2798,3628,99,21,0,3
1.6,376,0,165805760,743,94,37,4,24,0.041699,2798,3628,99,21,0,3
1.6,377,0,165838528,743,94,37,4,24,0.042484,2798,3628,98,26,0,3
1.6,378,0,165879440,743,94,37,4,23,0.042763,2798,3628,98,26,0,3
1.6,379,0,165936504,743,94,37,4,23,0.044438,2798,3631,98,26,0,3
1.6,380,0,165985568,743,94,37,4,23,0.044022,2798,3633,98,26,0,3
1.6,381,0,166010144,743,94,37,4,23,0.044090,2798,3633,98,26,0,3
1.6,382,0,166075560,743,94,37,4,22,0.044678,2798,3633,98,26,0,3
1.6,383,0,166116368,743,94,37,4,22,0.044480,2798,3633,96,21,0,2
1.6,384,0,166165328,743,94,37,4,22,0.044697,2798,3633,96,21,0,2
1.6,385,0,166198024,743,94,37,4,23,0.043637,2798,3634,96,21,0,2
